reaction,net,exchange
Glycolysis_v1 (BR47759),6.5,0
Glycolysis_v2 (BR240),3.2672,1.00E-07
Glycolysis_v3 (BR47724),5.4224,0.00E+00
Glycolysis_v4 (BR344),5.4224,1.00E-07
Glycolysis_v5 (BR219),5.4224,9.30E-06
Glycolysis_v6 (BR29425),11.9224,7.29E-06
Glycolysis_v7 (BR17),11.9224,1.00E-07
Glycolysis_v8 (BR3384),11.9224,1.00E-07
Glycolysis_v9 (BR47778),11.9224,0
PPP_ox_v10 (BR50596),3.2328,0
PPP_ox_v11 (BR10654),3.2328,0
PPP_ox_v12 (BR50378),3.2328,0
PPP_v13 (BR184),2.1552,6.60E-03
PPP_v14 (BR237),1.0776,0.0033
PPP_v15 (BR43957),-1.0776,6.20E-05
PPP_v16 (BR43958),1.0776,6.20E-05
PPP_v17 (BS320170),1.0776,1.60E-03
